GeneticMaterial,DNA,Genome,RedGenome,GreenGenome,PurpleGenome,CellClusters,Research,DummyCurrency
10,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,1,0
99,2,0,0,0,0,0,1,0
99,12,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,1,0
23,3,0,0,0,0,0,1,0
23,4,0,0,0,0,0,1,0
23,24,0,0,0,0,0,1,0
23,22,0,0,0,0,0,1,0
53,28,0,0,0,0,0,1,0
77,10,0,0,0,0,0,1,0
77,40,0,0,0,0,0,1,0
77,20,0,0,0,0,0,1,0
77,80,0,0,0,0,0,1,0
77,84,0,0,0,0,0,1,0
123,69,0,0,0,0,0,1,0
183,69,0,0,0,0,0,1,0
13,93,0,0,0,0,0,2,0
213,63,0,0,0,0,0,2,0
233,114,0,0,0,0,0,2,0
233,68,0,0,0,0,0,2,0
233,128,0,0,0,0,0,2,0
273,44,0,0,0,0,0,2,0
153,17,0,0,0,0,0,3,0
133,88,1,0,0,0,0,3,0
133,178,1,0,0,0,0,3,0
273,184,1,0,0,0,0,3,0
473,154,1,0,0,0,0,3,0
153,127,1,0,0,0,0,4,0
293,133,1,0,0,0,0,4,0
293,223,1,0,0,0,0,4,0
153,180,8,0,0,0,0,4,0
113,160,2,2,3,3,0,4,0
13,110,2,3,4,6,0,4,0
13,182,0,3,5,7,0,4,0
13,272,0,3,5,7,0,4,0
193,254,0,3,5,7,0,4,0
393,224,0,3,5,7,0,4,0
313,145,7,3,5,7,0,4,0
213,95,3,4,6,9,0,4,0
193,139,1,5,7,10,0,4,0
193,229,1,5,7,10,0,4,0
213,307,1,5,7,10,0,4,0
413,277,1,5,7,10,0,4,0
613,247,1,5,7,10,0,4,0
633,325,1,5,7,10,0,4,0
633,126,1,5,7,10,0,4,0
633,256,1,5,7,10,0,4,0
813,242,1,5,7,10,0,4,0
13,242,1,6,8,0,1,5,0
33,356,1,6,8,0,1,5,0
233,326,1,6,8,0,1,5,0
313,275,4,6,8,0,1,5,0
133,185,12,6,9,0,1,5,0
133,185,2,7,18,0,1,5,0
13,125,6,7,0,0,3,5,0
13,255,6,7,0,0,3,5,0
13,385,6,7,0,0,3,5,0
13,515,6,7,0,0,3,5,0
173,517,6,7,0,0,3,5,0
373,487,6,7,0,0,3,5,0
453,436,9,7,0,0,3,5,0
273,346,17,8,0,0,3,5,0
273,346,8,6,0,1,4,5,0
273,372,1,1,1,2,5,5,0
279,489,1,1,1,2,5,5,0
339,489,1,1,1,2,5,5,0
339,76,1,1,1,2,5,5,0
339,206,1,1,1,2,5,5,0
339,336,1,1,1,2,5,5,0
339,466,1,1,1,2,5,5,0
519,452,1,1,1,2,5,5,0
719,422,1,1,1,2,5,5,0
599,336,9,1,1,2,5,5,0
519,296,7,1,1,8,5,5,0
419,246,8,1,1,2,6,5,0
239,169,17,1,1,2,6,5,0
239,299,17,1,1,2,6,5,0
439,269,17,1,1,2,6,5,0
639,239,17,1,1,2,6,5,0
439,139,27,1,1,2,6,5,0
379,109,23,1,2,8,6,5,0
379,109,14,1,3,6,7,5,0
379,109,5,1,5,3,8,5,0
379,174,0,1,5,8,8,5,0
379,304,0,1,5,8,8,5,0
379,434,0,1,5,8,8,5,0
579,404,0,1,5,8,8,5,0
579,339,5,1,5,8,8,5,0
499,299,4,1,5,3,9,5,0
419,259,2,1,9,5,9,5,0
399,314,0,1,0,7,10,5,0
399,444,0,1,0,7,10,5,0
399,574,0,1,0,7,10,5,0
499,624,0,1,0,7,10,5,0
